Wall time,Step,Value
1729564015.9745805,4611,-21.0
1729564038.5585446,13934,-19.0
1729564041.539214,15015,-19.0
1729564048.2387836,18030,-21.0
1729564050.467037,18849,-21.0
1729564057.313149,21526,-21.0
1729564064.7469962,25234,-20.0
1729564066.7468195,26160,-21.0
1729564092.471815,38208,-21.0
1729564106.7530112,44890,-20.0
1729564109.3183453,46104,-18.0
1729564111.0377154,47033,-21.0
1729564121.7574725,51559,-20.0
1729564137.7306309,58601,-19.0
1729564139.577614,59466,-21.0
1729564145.8464565,62303,-20.0
1729564148.0687969,63509,-18.0
1729564154.6973255,66439,-20.0
1729564156.9311504,67451,-21.0
1729564169.7302413,73551,-19.0
1729564178.8349247,78046,-21.0
1729564203.4816802,84392,-20.0
1729564240.638138,93608,-20.0
1729564257.2643838,97680,-20.0
1729564268.865445,100357,-18.0
1729564273.3862317,101316,-19.0
1729564307.3710756,109544,-21.0
1729564327.7434268,114155,-21.0
1729564343.7425735,118034,-21.0
1729564347.7558606,119034,-21.0
1729564355.8528852,121145,-20.0
1729564364.4163942,123134,-20.0
1729564389.2238002,128743,-20.0
1729564393.0828633,129760,-19.0
1729564423.6968317,136730,-21.0
1729564432.9429686,138755,-20.0
1729564436.338801,139544,-21.0
1729564449.150571,142456,-19.0
1729564475.9681332,149115,-21.0
1729564487.7856033,151932,-21.0
1729564497.4492357,153918,-21.0
1729564506.3776772,155975,-19.0
1729564532.489974,162327,-21.0
1729564536.6607416,163293,-21.0
1729564559.0104032,168463,-18.0
1729564593.4630077,176002,-20.0
1729564598.6730711,177176,-21.0
1729564602.4822824,178030,-20.0
1729564620.8723376,182060,-19.0
1729564625.7170272,183103,-20.0
1729564630.2349002,184095,-19.0
1729564657.2645516,190699,-19.0
1729564671.1253858,193885,-20.0
1729564677.3450317,195186,-19.0
1729564687.1516051,197135,-19.0
1729564698.0036411,199499,-19.0
1729564715.472333,203804,-20.0
1729564725.3840241,206184,-20.0
1729564732.5905938,207881,-21.0
1729564759.463538,213485,-19.0
1729564763.9711413,214541,-20.0
1729564779.099297,218059,-18.0
1729564802.5527108,223433,-20.0
1729564871.9564834,239155,-19.0
1729564878.4205601,240400,-19.0
1729564883.508142,241569,-20.0
1729564938.7134943,254524,-20.0
1729564943.0026588,255470,-20.0
1729564947.6017456,256565,-20.0
1729564998.0904713,268146,-19.0
1729565011.0407424,271360,-20.0
1729565018.2244506,273391,-20.0
1729565027.2030976,275616,-20.0
1729565047.0123243,280367,-20.0
1729565061.2029023,283346,-20.0
1729565075.0766883,286610,-19.0
1729565083.6326933,288805,-20.0
1729565105.451308,294212,-20.0
1729565115.7930772,296546,-20.0
1729565120.074928,297663,-18.0
1729565161.991443,306944,-18.0
1729565170.4017358,308944,-21.0
1729565189.156252,313892,-18.0
1729565207.036637,318375,-20.0
1729565218.1197164,320921,-21.0
1729565223.4073396,321962,-19.0
1729565237.6342947,325054,-20.0
1729565315.5165112,343059,-20.0
1729565320.0605507,344134,-20.0
1729565345.3200874,349993,-18.0
1729565356.3282716,352483,-18.0
1729565362.0055804,353597,-21.0
1729565394.294939,361395,-18.0
1729565403.934357,363618,-20.0
1729565424.2405233,368310,-21.0
1729565454.9457264,375423,-17.0
1729565459.0436158,376426,-21.0
1729565463.7442946,377515,-19.0
1729565467.9988935,378620,-17.0
1729565530.5797868,392622,-18.0
1729565574.5091095,403082,-20.0
1729565595.809469,407820,-21.0
1729565604.8842177,409827,-20.0
1729565626.998297,415087,-20.0
1729565653.5619903,421670,-20.0
1729565664.5815954,424028,-20.0
1729565734.2653065,439091,-15.0
1729565768.047836,446619,-18.0
1729565776.913934,448562,-15.0
1729565798.6394284,453617,-16.0
1729565859.0586452,467189,-19.0
1729565866.3279653,468632,-19.0
1729565881.079343,471813,-18.0
1729565905.5536947,477324,-20.0
1729565911.7652805,478622,-19.0
1729565923.1982589,481344,-14.0
1729565947.7342978,486921,-18.0
1729565961.3943856,489982,-18.0
1729565987.9962254,495835,-21.0
1729566014.4159055,502068,-19.0
1729566039.858376,507263,-19.0
1729566059.289127,511530,-17.0
1729566073.9488103,514672,-20.0
1729566104.5027013,521549,-17.0
1729566108.3843174,522608,-21.0
1729566143.19949,530617,-14.0
1729566150.5962274,532142,-18.0
1729566194.9244995,541858,-18.0
1729566207.0860295,544823,-18.0
1729566245.8910306,553049,-18.0
1729566358.0851104,576647,-17.0
1729566366.6969488,578412,-13.0
1729566373.588626,579940,-16.0
1729566380.0187964,581548,-16.0
1729566389.0078104,583516,-16.0
1729566399.0224955,585496,-17.0
1729566425.2960308,591092,-13.0
1729566431.0347462,592370,-20.0
1729566436.1402025,593482,-21.0
1729566546.852639,617805,-15.0
1729566555.4706452,619859,-16.0
1729566572.8375683,623206,-15.0
1729566583.3357196,625059,-13.0
1729566593.185096,627228,-14.0
1729566608.54919,630362,-15.0
1729566644.967338,637580,-17.0
1729566662.9378161,641720,-14.0
1729566692.1632686,648260,-17.0
1729566708.2496068,651320,-17.0
1729566735.53326,657611,-20.0
1729566786.471022,668346,-17.0
1729566804.659617,672162,-17.0
1729566842.4370077,679909,-19.0
1729566885.474863,689105,-15.0
1729566983.6570685,709405,-16.0
1729566993.781228,711387,-17.0
1729567022.382026,717470,-15.0
1729567038.4216094,720953,-17.0
1729567048.085552,722818,-17.0
1729567080.8362238,729225,-14.0
1729567098.7008696,733043,-12.0
1729567167.8332434,747284,-16.0
1729567216.4793878,757237,-16.0
1729567264.2262526,766925,-12.0
1729567273.7664225,769109,-13.0
1729567352.1859884,785138,-11.0
1729567362.2474597,787333,-9.0
1729567391.578054,793338,-13.0
1729567405.9871657,796684,-18.0
1729567415.675227,798775,-16.0
1729567458.5563815,807049,-16.0
1729567498.0221546,815564,-15.0
1729567567.9748201,829179,-9.0
1729567575.2712777,830805,-18.0
1729567625.9080899,840898,-19.0
1729567644.959437,844727,-14.0
1729567684.483616,852827,-10.0
1729567716.5006816,858915,-13.0
1729567740.9342387,863841,-11.0
1729567815.862196,879331,-17.0
1729567844.1978815,885448,-13.0
1729567900.7742577,896287,-13.0
1729567915.5481555,899326,-9.0
1729567962.7197552,908950,-13.0
1729568004.70692,917582,-13.0
1729568090.8175995,934201,-7.0
1729568116.5321248,939237,-13.0
1729568139.3490477,943968,-13.0
1729568148.388427,945721,-16.0
1729568202.7209995,956687,-13.0
1729568305.3592424,976572,-12.0
1729568364.2016978,987709,-13.0
1729568439.0222075,1002234,-15.0
1729568461.0304954,1006369,-8.0
1729568483.1129723,1010831,-14.0
1729568498.0362823,1013944,-10.0
1729568530.7462883,1019923,-10.0
1729568548.207049,1023231,-17.0
1729568572.4985366,1028430,-12.0
1729568585.9572723,1031141,-18.0
1729568604.9015744,1034282,-10.0
1729568666.087887,1046057,-12.0
1729568737.9323874,1060438,-10.0
1729568991.4022212,1109422,-11.0
1729569007.1258824,1112471,-5.0
1729569094.5449543,1129316,-13.0
1729569131.8139687,1136802,-18.0
1729569147.1507413,1139583,-8.0
1729569174.8332245,1144730,-13.0
1729569191.2125442,1147714,-18.0
1729569214.6654537,1152277,-15.0
1729569285.815293,1166293,-15.0
1729569494.1192198,1206652,-14.0
1729569505.2259338,1208883,-11.0
