Wall time,Step,Value
1729564140.192484,17856,-20.0
1729564182.2002745,43928,-21.0
1729564206.7719297,56915,-21.0
1729564207.9242945,57673,-21.0
1729564220.974453,64577,-19.0
1729564238.683005,74544,-21.0
1729564250.4293244,80563,-21.0
1729564295.6091995,93764,-21.0
1729564309.1573634,97204,-20.0
1729564374.845321,115798,-20.0
1729564383.6008368,117971,-19.0
1729564472.1022851,143070,-19.0
1729564482.1483638,145863,-21.0
1729564495.3922045,149438,-18.0
1729564520.4081137,156644,-20.0
1729564584.0318573,173924,-21.0
1729564625.5274441,184843,-19.0
1729564708.9016955,207421,-21.0
1729564761.9930341,221448,-21.0
1729564765.4766965,222519,-18.0
1729564814.2558515,235805,-20.0
1729564854.6038442,247052,-19.0
1729564893.840516,257089,-21.0
1729564903.9649305,259928,-18.0
1729565008.8538368,288247,-20.0
1729565017.5452738,291077,-20.0
1729565105.2853293,315752,-21.0
1729565145.8768873,326626,-21.0
1729565172.567367,333767,-21.0
1729565207.9916573,344503,-21.0
1729565237.5005877,352007,-21.0
1729565252.0465074,355694,-20.0
1729565286.1505573,365802,-21.0
1729565332.2289486,377326,-20.0
1729565403.7036726,396437,-19.0
1729565406.9064362,397257,-21.0
1729565436.844013,404900,-20.0
1729565484.3912468,418168,-21.0
1729565500.0883973,421976,-20.0
1729565533.9708493,430661,-21.0
1729565550.347503,434949,-21.0
1729565553.0728962,435705,-21.0
1729565649.0496762,461580,-20.0
1729565655.26349,463345,-21.0
1729565658.6580741,464192,-21.0
1729565728.3711326,481954,-20.0
1729565744.6085556,486210,-21.0
1729565750.0256276,487872,-21.0
1729565789.9580576,498109,-21.0
1729565801.4424953,501414,-21.0
1729565820.389062,506582,-20.0
1729565918.0950541,531240,-20.0
1729565930.0888484,534442,-21.0
1729565936.6088243,536095,-21.0
1729566049.9206862,564636,-21.0
1729566077.5944223,571377,-21.0
1729566097.45337,576316,-21.0
1729566100.7993772,577179,-20.0
1729566146.5504851,589349,-21.0
1729566178.6673636,596934,-21.0
1729566204.289609,603850,-21.0
1729566368.307348,643505,-20.0
1729566382.481063,647368,-19.0
1729566447.1075974,662988,-21.0
1729566517.6395547,680274,-20.0
1729566552.1091573,689233,-21.0
1729566578.9061532,695273,-20.0
