Wall time,Step,Value
1729564255.5467925,97300,387.0
1729564286.1756985,104500,370.0
1729564291.809636,106000,368.0
1729564379.478011,126600,337.0
1729564399.5404253,131100,331.0
1729564419.1644864,135700,327.0
1729564463.2746253,145900,317.0
1729564524.831189,160500,308.0
1729564623.8173406,182700,294.0
1729564628.8931026,183800,294.0
1729564668.372785,193300,291.0
1729564693.6042159,198500,287.0
1729564729.9956064,207200,285.0
1729564795.206689,221800,280.0
1729564813.0629828,225900,279.0
1729564828.615727,229500,278.0
1729564835.1171687,231100,278.0
1729564851.8228006,234900,277.0
1729564859.4024382,236600,276.0
1729565020.7024043,274100,269.0
1729565029.5373607,276100,269.0
1729565231.429408,323700,263.0
1729565233.74412,324200,263.0
1729565243.4961567,326300,263.0
1729565261.2076962,330400,262.0
1729565289.6308692,337800,262.0
1729565339.1654887,348500,261.0
1729565342.8824637,349400,261.0
1729565348.570796,350900,261.0
1729565352.7047317,351800,260.0
1729565376.06687,356900,260.0
1729565511.080977,388400,257.0
1729565521.797385,390600,257.0
1729565538.6509714,394600,257.0
1729565579.3946767,404200,256.0
1729565590.8020475,406600,256.0
1729565629.6532297,415700,255.0
1729565723.43204,436700,254.0
1729565739.2435544,440100,253.0
1729565746.6464412,441700,253.0
1729565763.1798046,445500,253.0
1729565769.0919137,446900,253.0
1729565770.180055,447200,253.0
1729565846.956311,464900,252.0
1729565880.1162913,471600,251.0
1729565927.6446187,482400,250.0
1729565965.5342054,491000,250.0
1729565971.6332731,492200,250.0
1729565998.4918318,498200,249.0
1729566003.1112921,499300,249.0
1729566017.6952755,502800,249.0
1729566065.9967797,512900,248.0
1729566171.9482787,536500,247.0
1729566294.2866054,563300,245.0
1729566415.794725,589100,244.0
1729566437.1676097,593700,244.0
1729566460.7617376,598800,243.0
1729566466.7238207,600100,243.0
1729566494.2499309,606300,243.0
1729566510.8654466,609600,243.0
1729566540.758533,616300,242.0
1729566585.305584,625500,242.0
1729566685.077363,646800,241.0
1729566761.4154158,663300,240.0
1729566778.2678678,666700,240.0
1729566784.6806061,668000,240.0
1729566834.7114162,678200,239.0
1729566841.977484,679800,239.0
1729566866.7181108,685400,239.0
1729566907.4124289,693900,239.0
1729566948.101739,702600,238.0
1729566976.0903847,708000,238.0
1729567003.9948974,713500,237.0
1729567020.3575525,717000,237.0
1729567116.9200768,737000,236.0
1729567196.3093717,753100,235.0
1729567206.1867468,755100,235.0
1729567255.308713,765100,235.0
1729567286.1207495,772000,235.0
1729567322.5489132,779200,234.0
1729567353.8029583,785500,234.0
1729567449.9165835,805400,233.0
1729567540.1975334,823700,232.0
1729567555.1774676,826500,232.0
1729567592.2399576,834400,232.0
1729567643.9376345,844500,232.0
1729567685.8984785,853100,231.0
1729567699.6020374,855700,231.0
1729567719.5879292,859500,231.0
1729567812.905639,878700,230.0
1729567881.8951697,892300,230.0
1729567963.9675248,909200,229.0
1729568094.9088762,934900,228.0
1729568098.010116,935500,228.0
1729568128.8807685,941900,228.0
1729568149.665909,946000,228.0
1729568168.2870967,949500,228.0
1729568183.2754407,952500,227.0
1729568196.0926213,955300,227.0
1729568207.1605372,957700,227.0
1729568208.098473,957900,227.0
1729568231.8050308,962400,227.0
1729568236.625601,963400,227.0
1729568261.5827053,967800,227.0
1729568354.9023902,985900,226.0
1729568401.4153886,995300,226.0
1729568455.6711986,1005300,225.0
1729568475.352648,1009200,225.0
1729568493.0087624,1012800,225.0
1729568509.6450279,1016000,225.0
1729568607.3016033,1034800,224.0
1729568691.888697,1051300,224.0
1729568712.5331292,1055400,224.0
1729568712.9790263,1055500,224.0
1729568753.7578182,1063800,223.0
1729568769.4923098,1066800,223.0
1729568783.7192645,1069500,223.0
1729568795.5357878,1071800,223.0
1729568814.4140272,1075000,223.0
1729568827.8147922,1077400,223.0
1729568831.4240956,1078000,223.0
1729568874.7241395,1086400,223.0
1729568888.544286,1089100,222.0
1729568903.139322,1092200,222.0
1729568934.8362648,1099200,222.0
1729569017.6939418,1114300,222.0
1729569044.2564428,1119600,222.0
1729569069.2162983,1124600,222.0
1729569075.9026482,1125900,222.0
1729569098.6214347,1130200,221.0
1729569107.2838063,1131900,221.0
1729569128.468368,1136200,221.0
1729569173.1149378,1144400,221.0
1729569174.137595,1144600,221.0
1729569207.459714,1150800,221.0
1729569215.7189262,1152500,221.0
1729569368.694275,1182400,220.0
1729569407.1306984,1189500,220.0
1729569418.4636607,1191900,220.0
1729569467.86926,1201900,219.0
1729569527.634375,1213200,219.0
1729569561.3200514,1219500,219.0
1729569780.0058405,1262000,218.0
1729569802.6614137,1266800,218.0
1729569882.8886886,1282800,218.0
1729569909.7329543,1287700,218.0
1729570033.2797225,1311700,217.0
1729570051.634399,1315500,217.0
1729570074.712848,1319900,217.0
1729570075.856899,1320100,217.0
1729570118.2651467,1327700,217.0
1729570233.2800243,1350900,216.0
1729570334.664767,1370200,216.0
1729570336.57641,1370600,216.0
1729570355.383075,1374500,216.0
1729570541.090011,1410500,215.0
1729570580.7438996,1418900,215.0
1729570596.0182772,1421900,215.0
1729570652.5604224,1432300,215.0
1729570669.065645,1435100,215.0
1729570707.8866076,1442400,215.0
1729570717.2692797,1444300,215.0
1729570720.2567425,1444800,215.0
1729570795.863986,1460300,215.0
1729570821.1594565,1465000,214.0
1729570882.8577259,1477200,214.0
1729570887.2330801,1478100,214.0
1729570923.2545068,1484700,214.0
1729570996.6838264,1498900,214.0
1729571005.9258294,1500700,214.0
1729571037.594951,1506600,214.0
1729571080.2033339,1515500,214.0
1729571083.7868423,1516200,214.0
1729571218.0655663,1542400,213.0
1729571227.884773,1544600,213.0
1729571269.8195636,1554600,213.0
1729571315.1031332,1565200,214.0
1729571321.5663471,1566500,214.0
1729571398.785005,1582000,213.0
1729571420.7293205,1586600,213.0
1729571422.9192827,1587100,213.0
1729571446.1521654,1592500,213.0
1729571471.1439698,1598600,214.0
1729571552.9155548,1617200,214.0
1729571666.3912344,1641100,214.0
1729571678.4078794,1643900,214.0
1729571949.6402483,1704200,214.0
1729572021.387534,1719300,214.0
1729572221.9602249,1763500,214.0
1729572235.8882973,1766700,214.0
1729572241.884618,1768100,214.0
1729572243.1729612,1768400,214.0
1729572253.1508548,1770800,214.0
1729572270.2290013,1774800,214.0
1729572351.7324016,1792100,214.0
1729572355.296563,1792800,214.0
1729572418.0200999,1806400,214.0
1729572473.6755393,1819500,214.0
1729572553.5059385,1836400,214.0
1729572585.3997507,1843300,214.0
1729572614.403126,1849800,214.0
1729572628.73824,1853200,214.0
1729572749.0331783,1880600,215.0
1729572803.864481,1892200,215.0
1729572807.2220693,1893000,215.0
1729572808.9418256,1893400,215.0
1729572810.6901104,1893800,215.0
1729572923.2342064,1920600,215.0
1729572959.2417378,1928200,215.0
1729573083.4428341,1956000,215.0
1729573086.4334219,1956600,215.0
1729573093.023211,1958100,215.0
1729573099.6316454,1959600,215.0
1729573152.9150782,1970500,215.0
1729573243.3327546,1991000,215.0
1729573245.0505319,1991400,215.0
1729573291.9297411,2001000,215.0
1729573344.5643024,2012000,215.0
1729573370.281299,2017800,215.0
1729573424.1823583,2030200,215.0
1729573442.9561043,2034700,215.0
1729573477.695025,2041800,215.0
1729573580.246757,2064200,215.0
1729573613.7639806,2072300,215.0
1729573647.0228252,2080000,215.0
1729573867.8833776,2129400,215.0
1729573910.3603168,2137900,215.0
1729573929.1584687,2141900,215.0
1729573941.9421892,2144700,215.0
1729573950.939683,2146700,215.0
1729573990.8081224,2156100,215.0
1729574025.9274518,2164200,215.0
1729574082.619532,2176900,215.0
1729574087.9036021,2178000,215.0
1729574097.5019364,2180100,215.0
1729574114.6082091,2183700,215.0
1729574122.2546906,2185300,215.0
1729574155.8180814,2193000,216.0
1729574213.4228187,2206800,216.0
1729574231.6870937,2211200,216.0
1729574397.691415,2247700,216.0
1729574575.2975879,2286400,216.0
1729574617.2152646,2296300,216.0
1729574683.5300324,2310800,216.0
1729574717.061463,2318100,216.0
1729574864.1702933,2350300,216.0
1729574889.4122732,2355700,216.0
1729575029.525607,2387200,216.0
1729575045.5907815,2390700,216.0
1729575148.0327165,2413100,216.0
1729575177.638231,2420700,216.0
1729575178.04766,2420800,216.0
1729575221.3143654,2430100,216.0
1729575264.0714204,2439000,216.0
1729575615.670304,2517900,216.0
1729575656.6477883,2527000,216.0
1729575658.439907,2527400,216.0
1729575667.502076,2529300,216.0
1729575759.7090635,2550500,216.0
1729575765.338876,2551900,216.0
1729575785.1731155,2555900,216.0
1729575816.440259,2562900,216.0
1729575823.8218622,2564400,216.0
1729575837.7761552,2567600,216.0
1729575841.055271,2568300,216.0
1729575866.9225125,2573900,216.0
1729575892.382023,2579200,216.0
1729575921.9428122,2585400,216.0
1729575945.225429,2591300,217.0
1729576008.2030528,2605000,217.0
1729576099.035156,2624500,216.0
1729576189.0695353,2645000,217.0
1729576214.008577,2650400,217.0
1729576219.9058375,2651600,217.0
1729576240.29156,2655800,217.0
1729576311.9638991,2671800,217.0
1729576316.3609006,2673000,217.0
1729576470.827907,2706400,217.0
1729576487.9570146,2710400,217.0
1729576517.5220125,2717800,217.0
1729576536.9403036,2722200,217.0
1729576639.1058407,2744700,217.0
1729576661.207964,2749400,217.0
1729576713.8735209,2761700,217.0
1729576783.0599482,2777100,217.0
1729576802.5036788,2781500,217.0
1729576810.0342984,2783000,217.0
1729576844.370166,2790500,217.0
1729576930.836135,2810900,217.0
1729576997.34539,2825500,217.0
1729577027.0893679,2832200,217.0
1729577078.4056106,2842700,217.0
1729577088.3763075,2845200,217.0
1729577152.0098145,2859300,217.0
1729577170.969431,2863400,217.0
1729577200.1670728,2869500,217.0
1729577251.3785226,2880700,217.0
1729577268.1442435,2884600,217.0
1729577293.2155247,2890300,217.0
1729577452.1819088,2925300,217.0
1729577524.5412407,2941600,217.0
1729577610.7070959,2959500,217.0
1729577687.930018,2977300,217.0
1729577693.2919655,2978500,217.0
1729577824.5134702,3006000,217.0
1729577846.579035,3011100,217.0
1729577899.1264372,3023200,217.0
1729577926.7260067,3029100,217.0
1729577961.9150758,3036600,217.0
1729577988.084936,3042100,217.0
1729577995.8451428,3043700,217.0
1729578010.6593275,3047200,217.0
1729578013.0731266,3047800,217.0
1729578062.8719707,3058500,217.0
1729578083.3330526,3063200,217.0
1729578091.0096946,3064900,217.0
1729578102.056421,3067500,217.0
1729578149.203961,3077500,217.0
1729578185.6260104,3085600,217.0
1729578191.0184715,3086800,217.0
1729578196.7116406,3088100,217.0
1729578296.5182736,3110100,217.0
1729578312.7331076,3113400,217.0
1729578479.760856,3150400,217.0
1729578562.1853552,3169300,217.0
1729578572.6897354,3172000,217.0
1729578589.726201,3176000,217.0
1729578593.5621195,3176800,217.0
1729578612.3189201,3180700,217.0
1729578720.064314,3204500,217.0
1729578751.8165348,3211500,217.0
1729578777.8152888,3217700,217.0
1729578792.6671953,3221100,217.0
1729578878.8352623,3240800,217.0
1729578903.4634535,3246100,217.0
1729579014.254248,3270300,217.0
1729579022.1566448,3271900,217.0
1729579038.040696,3275400,217.0
1729579049.4365494,3277700,217.0
1729579066.1153994,3281500,217.0
1729579295.2512333,3330800,217.0
1729579325.7149334,3337000,217.0
1729579432.4680924,3361200,217.0
1729579437.8238788,3362500,217.0
1729579438.201945,3362600,217.0
1729579472.782957,3370300,217.0
1729579525.7576275,3381300,217.0
1729579646.2448542,3408000,217.0
1729579705.9633515,3420900,217.0
1729579713.537087,3422700,217.0
1729579835.865504,3450200,217.0
1729579885.768418,3460400,217.0
1729579913.851711,3466500,217.0
1729579914.7632189,3466700,217.0
1729579924.023459,3468700,217.0
1729579984.9133487,3482200,217.0
1729580022.6978564,3490800,217.0
1729580185.0581832,3526500,217.0
1729580199.8708348,3530000,217.0
1729580256.6778688,3542400,217.0
1729580394.1915233,3573200,218.0
1729580401.7064574,3575000,218.0
1729580402.532222,3575200,218.0
1729580409.1236196,3576800,218.0
1729580483.9480362,3594100,218.0
1729580518.2676604,3601800,218.0
1729580592.8492641,3617800,218.0
1729580632.3206944,3626500,218.0
1729580637.4576883,3627800,218.0
1729580669.013651,3635200,218.0
1729580681.1884086,3638000,218.0
1729580703.59602,3643600,218.0
1729580733.2636771,3650500,218.0
1729580812.532592,3667500,218.0
1729580828.6053843,3671400,218.0
1729580844.7179737,3674900,218.0
1729580872.139485,3680900,218.0
1729581098.8391445,3730200,218.0
1729581146.676626,3741300,218.0
1729581156.2796695,3743200,218.0
1729581185.5502703,3749500,218.0
1729581275.0720768,3768700,218.0
1729581276.040736,3768900,218.0
1729581277.4635441,3769200,218.0
1729581283.1711445,3770400,218.0
1729581289.5986712,3771800,218.0
1729581324.6349142,3779700,218.0
1729581358.0398638,3786600,218.0
1729581364.6104064,3788000,218.0
1729581380.5018368,3791700,218.0
1729581411.0498478,3798300,218.0
1729581556.3751967,3829900,218.0
1729581625.2724044,3844800,218.0
1729581638.0837076,3847500,218.0
1729581673.0868108,3855000,218.0
1729581698.322241,3860900,218.0
1729581758.7409446,3873800,218.0
1729581963.7958715,3918700,218.0
1729581964.1296215,3918800,218.0
1729581972.7698996,3920900,218.0
1729582010.3928385,3928800,218.0
1729582024.2926407,3931900,218.0
1729582044.3899798,3936400,218.0
1729582152.7642813,3960600,218.0
1729582168.905743,3964000,218.0
1729582188.1048396,3968100,218.0
1729582196.5834715,3969900,218.0
1729582252.5413468,3982600,218.0
1729582344.3962092,4003900,218.0
1729582447.8134823,4027800,218.0
1729582480.0418422,4035200,218.0
