Wall time,Step,Value
1729564309.558306,97300,484.0
1729564335.916502,104500,459.0
1729564341.2319877,106000,455.0
1729564414.8574147,126600,413.0
1729564431.19356,131100,406.0
1729564448.571428,135700,399.0
1729564482.2661548,145900,390.0
1729564533.973492,160500,377.0
1729564617.2291014,182700,359.0
1729564621.516985,183800,358.0
1729564654.5659087,193300,354.0
1729564674.4300077,198500,350.0
1729564708.1655946,207200,345.0
1729564763.240176,221800,338.0
1729564777.7364247,225900,337.0
1729564790.735987,229500,336.0
1729564796.956181,231100,335.0
1729564811.0485876,234900,334.0
1729564817.0150256,236600,333.0
1729564956.402412,274100,323.0
1729564964.350528,276100,322.0
1729565134.4827871,323700,315.0
1729565136.2590282,324200,315.0
1729565144.6614351,326300,314.0
1729565160.1256752,330400,314.0
1729565185.4574304,337800,313.0
1729565223.9233682,348500,312.0
1729565227.5678473,349400,312.0
1729565233.3450341,350900,311.0
1729565236.6947956,351800,311.0
1729565256.9400067,356900,310.0
1729565374.0901058,388400,306.0
1729565381.698797,390600,306.0
1729565396.3137233,394600,306.0
1729565434.265068,404200,304.0
1729565443.1812918,406600,304.0
1729565475.1944983,415700,304.0
1729565556.8077154,436700,301.0
1729565568.9810371,440100,301.0
1729565574.6273675,441700,301.0
1729565589.625651,445500,300.0
1729565594.9673758,446900,300.0
1729565595.8271658,447200,300.0
1729565661.4417632,464900,299.0
1729565687.4810424,471600,298.0
1729565729.9657629,482400,297.0
1729565762.3622847,491000,296.0
1729565767.0332685,492200,296.0
1729565790.2726548,498200,296.0
1729565794.1447005,499300,296.0
1729565806.5201776,502800,296.0
1729565844.4098573,512900,295.0
1729565938.0770266,536500,293.0
1729566044.9017742,563300,290.0
1729566145.425663,589100,289.0
1729566165.112083,593700,288.0
1729566185.3424633,598800,288.0
1729566190.279611,600100,288.0
1729566214.1586623,606300,287.0
1729566227.5854418,609600,287.0
1729566254.8891816,616300,287.0
1729566293.4180596,625500,286.0
1729566380.5096242,646800,284.0
1729566448.3363843,663300,283.0
1729566462.5464406,666700,283.0
1729566467.585248,668000,283.0
1729566509.1450078,678200,282.0
1729566515.89743,679800,282.0
1729566538.1603446,685400,282.0
1729566572.0679035,693900,281.0
1729566610.1465483,702600,280.0
1729566632.871064,708000,280.0
1729566656.146448,713500,280.0
1729566669.8638499,717000,279.0
1729566750.335354,737000,278.0
1729566819.924429,753100,277.0
1729566828.1017044,755100,277.0
1729566868.4181993,765100,277.0
1729566898.2720656,772000,276.0
1729566926.0489795,779200,276.0
1729566953.1233413,785500,276.0
1729567039.2096283,805400,274.0
1729567119.2410636,823700,273.0
1729567131.2270179,826500,273.0
1729567165.1140711,834400,272.0
1729567209.410166,844500,272.0
1729567247.0425386,853100,271.0
1729567257.7600613,855700,271.0
1729567274.0813487,859500,271.0
1729567357.3229003,878700,270.0
1729567413.6539211,892300,269.0
1729567486.6019359,909200,269.0
1729567600.278604,934900,267.0
1729567603.1063018,935500,267.0
1729567631.8970046,941900,267.0
1729567650.5933414,946000,267.0
1729567665.045282,949500,266.0
1729567678.4656208,952500,266.0
1729567691.6317368,955300,266.0
1729567702.2459996,957700,266.0
1729567703.079903,957900,266.0
1729567723.4653676,962400,266.0
1729567727.6496491,963400,266.0
1729567747.3262875,967800,265.0
1729567826.3208365,985900,265.0
1729567870.317236,995300,264.0
1729567914.2949357,1005300,264.0
1729567932.2536898,1009200,263.0
1729567947.7431104,1012800,263.0
1729567961.2145147,1016000,263.0
1729568044.4412165,1034800,262.0
1729568120.4649005,1051300,262.0
1729568137.5217688,1055400,261.0
1729568137.9735203,1055500,261.0
1729568175.0311441,1063800,261.0
1729568187.9553556,1066800,261.0
1729568198.7405856,1069500,261.0
1729568207.8811479,1071800,261.0
1729568222.7949193,1075000,261.0
1729568233.1402192,1077400,261.0
1729568235.6361132,1078000,261.0
1729568274.7983959,1086400,260.0
1729568287.4433725,1089100,260.0
1729568300.6789532,1092200,260.0
1729568332.6636403,1099200,260.0
1729568399.1031265,1114300,259.0
1729568423.4244912,1119600,259.0
1729568447.1471183,1124600,259.0
1729568453.369532,1125900,259.0
1729568472.515001,1130200,258.0
1729568479.2425587,1131900,258.0
1729568497.8068647,1136200,258.0
1729568537.194393,1144400,258.0
1729568538.2393713,1144600,258.0
1729568563.81365,1150800,258.0
1729568570.251025,1152500,258.0
1729568704.5598571,1182400,257.0
1729568736.5433552,1189500,257.0
1729568746.6066105,1191900,256.0
1729568790.6054764,1201900,256.0
1729568844.6475294,1213200,256.0
1729568872.907963,1219500,255.0
1729569060.214386,1262000,254.0
1729569082.98594,1266800,254.0
1729569154.8971047,1282800,254.0
1729569177.469366,1287700,254.0
1729569286.4999073,1311700,253.0
1729569302.780358,1315500,253.0
1729569323.0052729,1319900,253.0
1729569323.7913556,1320100,253.0
1729569355.9088762,1327700,253.0
1729569459.8570855,1350900,252.0
1729569547.1415262,1370200,251.0
1729569548.6905932,1370600,251.0
1729569567.29868,1374500,251.0
1729569727.2404842,1410500,251.0
1729569765.8256028,1418900,250.0
1729569777.6928687,1421900,250.0
1729569820.916076,1432300,250.0
1729569834.7243803,1435100,250.0
1729569864.6520503,1442400,250.0
1729569873.6989899,1444300,250.0
1729569875.9431624,1444800,250.0
1729569946.7348938,1460300,250.0
1729569966.6557937,1465000,250.0
1729570023.3883772,1477200,249.0
1729570027.34107,1478100,249.0
1729570055.9369605,1484700,249.0
1729570122.4747548,1498900,249.0
1729570130.1094966,1500700,249.0
1729570154.2395384,1506600,249.0
1729570193.5364993,1515500,249.0
1729570197.0877798,1516200,249.0
1729570318.2395494,1542400,248.0
1729570327.801383,1544600,248.0
1729570369.805696,1554600,248.0
1729570415.1446197,1565200,248.0
1729570420.6205661,1566500,248.0
1729570494.8622162,1582000,247.0
1729570515.6255934,1586600,247.0
1729570517.823877,1587100,247.0
1729570540.205082,1592500,247.0
1729570565.5344503,1598600,247.0
1729570649.067836,1617200,247.0
1729570757.6118276,1641100,246.0
1729570768.5381486,1643900,246.0
1729571040.99281,1704200,245.0
1729571105.5759308,1719300,245.0
1729571293.5873973,1763500,245.0
1729571306.7044718,1766700,245.0
1729571311.6116116,1768100,245.0
1729571312.7751322,1768400,245.0
1729571323.585379,1770800,245.0
1729571343.5096297,1774800,245.0
1729571419.0859737,1792100,245.0
1729571421.8488128,1792800,245.0
1729571474.2623267,1806400,245.0
1729571525.73208,1819500,245.0
1729571601.2162485,1836400,245.0
1729571634.9959674,1843300,244.0
1729571661.9056678,1849800,244.0
1729571675.4542725,1853200,244.0
1729571796.7463317,1880600,244.0
1729571850.6983166,1892200,244.0
1729571854.0552197,1893000,244.0
1729571855.6276798,1893400,244.0
1729571857.2481508,1893800,244.0
1729571974.5824733,1920600,244.0
1729572011.475689,1928200,243.0
1729572131.5766816,1956000,243.0
1729572134.2782629,1956600,243.0
1729572142.134898,1958100,243.0
1729572148.5565147,1959600,243.0
1729572198.569543,1970500,243.0
1729572285.6650474,1991000,243.0
1729572287.2884135,1991400,243.0
1729572334.8807967,2001000,243.0
1729572386.723244,2012000,243.0
1729572411.959438,2017800,243.0
1729572460.2579458,2030200,243.0
1729572478.9112127,2034700,243.0
1729572510.002383,2041800,243.0
1729572614.5794365,2064200,242.0
1729572643.8804297,2072300,242.0
1729572676.1461577,2080000,242.0
1729572886.2454011,2129400,242.0
1729572924.1998558,2137900,242.0
1729572945.2676733,2141900,242.0
1729572958.0706284,2144700,242.0
1729572968.1584384,2146700,242.0
1729573015.332129,2156100,242.0
1729573046.9782321,2164200,242.0
1729573099.5413182,2176900,242.0
1729573104.8047125,2178000,242.0
1729573116.0198143,2180100,242.0
1729573133.6620977,2183700,241.0
1729573141.2805376,2185300,241.0
1729573180.041104,2193000,241.0
1729573237.714749,2206800,241.0
1729573255.7360287,2211200,241.0
1729573419.4361384,2247700,241.0
1729573594.4861743,2286400,241.0
1729573632.274541,2296300,241.0
1729573703.3695555,2310800,240.0
1729573738.2262049,2318100,240.0
1729573875.665418,2350300,240.0
1729573901.5224934,2355700,240.0
1729574035.6457436,2387200,240.0
1729574049.8194933,2390700,240.0
1729574150.8558981,2413100,240.0
1729574182.741227,2420700,240.0
1729574183.211023,2420800,240.0
1729574218.5664747,2430100,240.0
1729574259.851642,2439000,240.0
1729574613.659534,2517900,239.0
1729574655.8436577,2527000,239.0
1729574657.578134,2527400,239.0
1729574667.5573986,2529300,239.0
1729574766.032848,2550500,239.0
1729574771.2932603,2551900,239.0
1729574787.0945382,2555900,239.0
1729574819.6888528,2562900,239.0
1729574826.1168303,2564400,239.0
1729574840.787873,2567600,239.0
1729574844.4044392,2568300,239.0
1729574870.1176074,2573900,239.0
1729574894.59365,2579200,239.0
1729574922.1995378,2585400,239.0
1729574948.7466247,2591300,239.0
1729575003.662942,2605000,239.0
1729575097.0895944,2624500,238.0
1729575181.1293347,2645000,238.0
1729575208.0183194,2650400,238.0
1729575213.6153233,2651600,238.0
1729575233.1137974,2655800,238.0
1729575308.2024076,2671800,238.0
1729575313.3725593,2673000,238.0
1729575457.673516,2706400,238.0
1729575476.3868933,2710400,238.0
1729575509.9715393,2717800,238.0
1729575528.5742044,2722200,238.0
1729575624.5686736,2744700,238.0
1729575647.8463006,2749400,238.0
1729575703.4238882,2761700,238.0
1729575764.9964266,2777100,238.0
1729575788.339048,2781500,238.0
1729575794.2237844,2783000,238.0
1729575826.4786825,2790500,238.0
1729575922.485992,2810900,237.0
1729575982.3654218,2825500,237.0
1729576014.84625,2832200,237.0
1729576065.894483,2842700,237.0
1729576077.0664136,2845200,237.0
1729576134.2914531,2859300,237.0
1729576152.3904214,2863400,237.0
1729576181.9659293,2869500,237.0
1729576234.5592837,2880700,237.0
1729576251.7431955,2884600,237.0
1729576277.3344197,2890300,237.0
1729576435.6591206,2925300,237.0
1729576505.5568426,2941600,237.0
1729576584.7034924,2959500,237.0
1729576669.130006,2977300,237.0
1729576674.4583535,2978500,237.0
1729576791.551966,3006000,237.0
1729576817.3552527,3011100,236.0
1729576871.6280813,3023200,236.0
1729576897.050654,3029100,236.0
1729576924.345769,3036600,236.0
1729576945.7407835,3042100,236.0
1729576953.0826163,3043700,236.0
1729576969.060066,3047200,236.0
1729576971.2679255,3047800,236.0
1729577021.9050875,3058500,236.0
1729577045.1555693,3063200,236.0
1729577054.5463743,3064900,236.0
1729577066.720148,3067500,236.0
1729577106.9150643,3077500,236.0
1729577140.6782188,3085600,236.0
1729577146.6205087,3086800,236.0
1729577152.2079372,3088100,236.0
1729577255.3258085,3110100,236.0
1729577268.335783,3113400,236.0
1729577433.4846044,3150400,236.0
1729577514.8915205,3169300,236.0
1729577526.0002334,3172000,236.0
1729577545.5745723,3176000,236.0
1729577549.3927574,3176800,236.0
1729577569.6504438,3180700,236.0
1729577674.6005402,3204500,236.0
1729577704.0330405,3211500,236.0
1729577731.7389593,3217700,236.0
1729577748.3137145,3221100,236.0
1729577838.39421,3240800,236.0
1729577860.572873,3246100,236.0
