Wall time,Step,Value
1729611650.771717,4611,-21.0
1729611676.2281878,13749,-20.0
1729611679.6811147,15053,-17.0
1729611685.3097188,17654,-19.0
1729611688.2995405,18687,-19.0
1729611706.958944,25237,-18.0
1729611709.1180356,26056,-21.0
1729611743.9958546,38313,-20.0
1729611765.050428,45061,-20.0
1729611767.8513668,46045,-21.0
1729611770.4710462,46942,-20.0
1729611781.5970502,51187,-21.0
1729611803.2113333,58825,-19.0
1729611805.923299,59745,-20.0
1729611814.1876788,62740,-21.0
1729611816.9183898,63699,-20.0
1729611825.4531713,66496,-20.0
1729611827.9367368,67419,-20.0
1729611844.0876584,73399,-20.0
1729611856.622677,77729,-20.0
1729611886.083889,84241,-19.0
1729611927.287024,93351,-20.0
1729611941.1906323,96882,-20.0
1729611956.3562968,100523,-21.0
1729612012.8220742,113943,-19.0
1729612029.108432,117734,-19.0
1729612032.9228861,118609,-21.0
1729612042.3414595,120687,-20.0
1729612052.7042084,122862,-18.0
1729612079.5182722,128660,-20.0
1729612116.4812908,136220,-20.0
1729612126.9230697,138373,-20.0
1729612131.802081,139385,-20.0
1729612145.0595393,142398,-20.0
1729612177.4612017,149349,-20.0
1729612189.3234937,152012,-21.0
1729612197.355535,153725,-21.0
1729612208.6180758,156045,-18.0
1729612237.2591352,162601,-19.0
1729612242.3898113,163664,-20.0
1729612263.0306401,168641,-20.0
1729612292.458062,175558,-21.0
1729612297.4617143,176713,-21.0
1729612327.2933698,183168,-19.0
1729612332.5192716,184300,-18.0
1729612388.236466,196088,-17.0
1729612398.6509066,198321,-20.0
1729612429.173049,204428,-19.0
1729612439.526618,206428,-19.0
1729612449.7454364,208481,-20.0
1729612495.685778,218497,-18.0
1729612521.4591248,223736,-19.0
1729612594.3421113,239731,-16.0
1729612600.3647428,241028,-18.0
1729612663.9918814,254665,-18.0
1729612669.111324,255640,-20.0
1729612674.7623677,256736,-20.0
1729612730.1064208,268402,-20.0
1729612745.370027,271928,-19.0
1729612763.1034994,276265,-21.0
1729612780.4795754,280171,-19.0
1729612797.547616,283792,-19.0
1729612812.9496732,286943,-20.0
1729612826.450059,289411,-19.0
1729612852.7402399,295150,-19.0
1729612861.7367015,297387,-20.0
1729612866.3093915,298521,-18.0
1729612916.2512727,309646,-20.0
1729612936.7027924,314167,-21.0
1729612949.8462489,319016,-19.0
1729612955.5855339,321106,-18.0
1729612958.3836436,322158,-19.0
1729612967.2075415,325354,-21.0
1729613016.7929316,343007,-19.0
1729613045.8366354,353253,-19.0
1729613048.661984,354328,-19.0
1729613092.5996678,369808,-18.0
1729613112.7503965,376824,-20.0
1729613115.104395,377685,-21.0
1729613119.5213938,379214,-18.0
1729613163.4274669,394502,-20.0
1729613195.9375808,404535,-17.0
1729613212.10927,410040,-18.0
1729613221.2414093,412958,-18.0
1729613252.424847,419178,-17.0
1729613305.0239275,426609,-17.0
1729613323.1509886,429232,-20.0
1729613428.56315,445723,-19.0
1729613467.823931,452802,-19.0
1729613475.1580935,453955,-20.0
1729613589.8256502,473614,-15.0
1729613596.8076198,474837,-19.0
1729613617.680108,478176,-18.0
1729613648.7140963,483796,-18.0
1729613658.1146595,485638,-15.0
1729613678.6218908,488785,-19.0
1729613721.3034658,497817,-18.0
1729613761.7188065,503484,-20.0
1729613813.4429076,511564,-16.0
1729613846.5787916,517307,-20.0
1729613870.3311992,521790,-17.0
1729613888.689742,524605,-18.0
1729613934.5373466,531325,-18.0
1729613943.4367127,532725,-17.0
1729613990.5446,541629,-13.0
1729614003.5155466,543575,-14.0
1729614061.7507336,552846,-16.0
1729614079.838516,556037,-14.0
1729614122.8529584,563730,-18.0
1729614283.665302,589907,-20.0
1729614304.614209,593067,-19.0
1729614315.791724,594652,-18.0
1729614330.18718,596673,-15.0
1729614361.6593988,602225,-14.0
1729614373.689002,605276,-19.0
1729614517.2964864,629062,-19.0
1729614527.3402615,630475,-17.0
1729614551.396949,633842,-17.0
1729614577.3765233,637426,-17.0
1729614598.6521716,640890,-14.0
1729614639.139591,648531,-15.0
1729614663.9004226,652139,-16.0
1729614700.464267,658537,-18.0
1729614725.7764316,662495,-16.0
1729614764.4910264,669964,-13.0
1729614839.7999482,681159,-19.0
1729614851.7163198,684026,-20.0
1729614901.375573,691102,-16.0
1729615093.9594972,721442,-10.0
1729615107.911768,723435,-12.0
1729615139.7172685,728959,-15.0
1729615161.7896838,733012,-17.0
1729615176.8885698,735049,-17.0
1729615224.0014412,741588,-18.0
1729615250.065533,746750,-10.0
1729615406.7718427,772441,-16.0
1729615482.807457,783758,-15.0
1729615498.1871107,785976,-15.0
1729615607.6953628,802942,-17.0
1729615616.4835172,804805,-13.0
1729615713.1399782,820174,-8.0
1729615741.1844509,824067,-4.0
1729615806.7091656,834929,-9.0
1729615881.2434542,845305,-12.0
1729615992.854548,862659,-14.0
1729616011.1791298,866470,-5.0
1729616108.9523315,881348,-6.0
1729616145.590097,886965,-8.0
1729616267.5588763,906415,-7.0
1729616296.1214359,910526,-14.0
1729616411.248754,929278,-11.0
1729616570.972418,955494,-2.0
1729616587.6933284,958016,-13.0
1729616714.6437151,978608,-7.0
1729616856.1573267,999499,-12.0
1729616904.2372117,1005803,-4.0
1729617228.3886325,1055086,-1.0
1729617491.0737963,1094405,7.0
1729617551.2737954,1102516,1.0
1729617606.2381968,1110563,-6.0
1729617625.74368,1114477,-4.0
1729617681.8139365,1122174,1.0
1729617694.4894564,1123966,-16.0
1729617725.915618,1131582,3.0
1729617737.7660167,1135366,-5.0
1729617748.6087465,1138761,-12.0
1729617818.4072592,1160059,7.0
1729617878.0218153,1178403,-5.0
1729618323.8786614,1251969,-4.0
1729618485.3302517,1275503,-17.0
1729618528.8951042,1281794,-9.0
1729618549.8848166,1284535,-11.0
1729618619.6552873,1294464,-6.0
1729618675.7676198,1303618,-4.0
1729618736.94122,1311689,-4.0
1729618891.9623148,1335750,2.0
1729619325.6084478,1398303,9.0
1729619346.6648486,1403009,-1.0
1729619415.6163566,1411767,11.0
1729619493.0805728,1423439,3.0
1729619714.293223,1454426,7.0
1729619740.0715678,1458298,3.0
1729619937.4015763,1490291,8.0
1729620019.8468575,1504384,8.0
1729620143.8385746,1531395,-7.0
1729620193.7771773,1541970,-7.0
1729620220.6553235,1549012,5.0
1729620399.4082916,1593224,-1.0
1729620424.993612,1600386,11.0
1729620454.9627857,1607748,7.0
1729620503.4482982,1620300,12.0
1729620578.9567952,1637520,-3.0
1729620745.9158468,1679264,2.0
1729620767.3356206,1685233,6.0
1729620843.0671952,1702859,11.0
1729620882.9851692,1711810,8.0
1729620905.2685719,1718384,3.0
1729620959.45737,1733566,-2.0
1729620974.6813316,1737572,3.0
1729621055.0253444,1757585,-2.0
1729621260.3923905,1812682,17.0
1729621275.6925535,1816813,11.0
1729621288.8094294,1820468,21.0
1729621374.5583184,1843898,15.0
1729621436.014715,1860764,17.0
1729621503.3373373,1879988,13.0
1729621576.7048893,1899876,15.0
1729621729.147272,1939430,15.0
1729621768.219742,1946534,20.0
1729621798.697206,1955048,20.0
1729621842.3334215,1967485,11.0
1729621858.7812605,1972038,18.0
1729621895.4201596,1982268,12.0
1729621926.0200331,1990524,17.0
1729621938.0196192,1993771,12.0
1729621947.2459226,1995864,17.0
1729622059.4945838,2020922,15.0
1729622114.9662662,2034510,17.0
1729622147.4342768,2042854,9.0
1729622161.6421537,2046520,18.0
1729622223.7958467,2061703,16.0
1729622230.841911,2063688,19.0
1729622372.1373813,2100944,18.0
1729622402.412961,2109629,16.0
1729622477.341108,2129478,15.0
1729622483.6616313,2131333,18.0
1729622496.2204938,2134792,19.0
