Wall time,Step,Value
1729611942.931546,97300,318.0
1729611972.101966,104500,311.0
1729611978.1725636,106000,310.0
1729612068.6189456,126600,293.0
1729612092.0220819,131100,288.0
1729612113.9556856,135700,284.0
1729612162.4478822,145900,277.0
1729612228.2626626,160500,271.0
1729612325.4500377,182700,265.0
1729612330.1671166,183800,265.0
1729612374.004738,193300,262.0
1729612399.4936512,198500,260.0
1729612443.6952198,207200,256.0
1729612512.4604938,221800,253.0
1729612530.8400404,225900,252.0
1729612547.535149,229500,252.0
1729612555.0988579,231100,251.0
1729612572.9253795,234900,251.0
1729612580.051499,236600,250.0
1729612754.0955834,274100,245.0
1729612762.3788433,276100,245.0
1729612962.5306025,323700,244.0
1729612963.8612685,324200,244.0
1729612969.820972,326300,244.0
1729612980.9801366,330400,245.0
1729613002.3991175,337800,247.0
1729613032.776126,348500,249.0
1729613035.23852,349400,249.0
1729613039.4147367,350900,250.0
1729613041.978565,351800,250.0
1729613055.7473924,356900,251.0
1729613145.4414697,388400,257.0
1729613151.9810758,390600,257.0
1729613163.7077045,394600,258.0
1729613194.820697,404200,259.0
1729613201.9638648,406600,259.0
1729613232.7351167,415700,260.0
1729613376.7203865,436700,251.0
1729613391.9456859,440100,250.0
1729613400.8768141,441700,250.0
1729613427.1102805,445500,248.0
1729613435.7233932,446900,248.0
1729613437.3276384,447200,248.0
1729613544.877433,464900,243.0
1729613577.562024,471600,243.0
1729613641.159324,482400,240.0
1729613691.487132,491000,238.0
1729613697.840828,492200,238.0
1729613723.5456939,498200,238.0
1729613730.9651449,499300,238.0
1729613756.782291,502800,237.0
1729613818.5322785,512900,235.0
1729613962.3872786,536500,230.0
1729614121.1178079,563300,226.0
1729614278.0939865,589100,223.0
1729614309.0855174,593700,222.0
1729614344.2133083,598800,221.0
1729614352.586733,600100,220.0
1729614380.771464,606300,220.0
1729614403.761635,609600,220.0
1729614448.3266332,616300,219.0
1729614500.6676629,625500,218.0
1729614627.8432157,646800,216.0
1729614731.0838597,663300,214.0
1729614749.1028595,666700,214.0
1729614754.4210205,668000,214.0
1729614823.1620328,678200,212.0
1729614833.759619,679800,212.0
1729614860.1080077,685400,212.0
1729614922.7294765,693900,211.0
1729614979.389728,702600,210.0
1729615003.7337763,708000,210.0
1729615043.7223682,713500,209.0
1729615069.1723976,717000,208.0
1729615191.2481987,737000,207.0
1729615291.2596796,753100,206.0
1729615305.8594284,755100,205.0
1729615370.1964467,765100,204.0
1729615403.7342157,772000,204.0
1729615456.1410751,779200,204.0
1729615494.8932517,785500,203.0
1729615618.8963535,805400,202.0
1729615738.7765908,823700,200.0
1729615756.74714,826500,200.0
1729615803.267685,834400,200.0
1729615875.2204456,844500,199.0
1729615922.943251,853100,199.0
1729615940.9293814,855700,198.0
1729615969.8267338,859500,198.0
1729616088.5599215,878700,197.0
1729616172.7969744,892300,196.0
1729616287.9592369,909200,195.0
1729616447.5155342,934900,194.0
1729616450.009593,935500,194.0
1729616488.262166,941900,194.0
1729616518.3244185,946000,193.0
1729616539.4621773,949500,193.0
1729616552.8590417,952500,193.0
1729616569.6357481,955300,193.0
1729616585.8094065,957700,193.0
1729616586.9942117,957900,193.0
1729616614.446317,962400,193.0
1729616621.9376779,963400,193.0
1729616652.8434517,967800,192.0
1729616771.8203475,985900,192.0
1729616836.584539,995300,191.0
1729616900.2224526,1005300,191.0
1729616929.7603333,1009200,190.0
1729616946.9806383,1012800,190.0
1729616970.373209,1016000,190.0
1729617092.2958436,1034800,189.0
1729617203.9925556,1051300,188.0
1729617229.7598498,1055400,188.0
1729617230.2273843,1055500,188.0
1729617288.80401,1063800,188.0
1729617312.0361013,1066800,187.0
1729617325.0730004,1069500,188.0
1729617339.784172,1071800,187.0
1729617363.0764933,1075000,187.0
1729617376.0119941,1077400,187.0
1729617378.2724268,1078000,187.0
1729617443.3896692,1086400,187.0
1729617463.0194829,1089100,186.0
1729617477.861424,1092200,186.0
1729617526.0134199,1099200,186.0
1729617624.9953973,1114300,186.0
1729617661.6484976,1119600,185.0
1729617698.4643342,1124600,185.0
1729617705.7030532,1125900,185.0
1729617721.6836612,1130200,185.0
1729617726.883021,1131900,185.0
1729617740.61808,1136200,186.0
1729617766.9966166,1144400,186.0
1729617767.6364954,1144600,186.0
1729617787.7716424,1150800,187.0
1729617793.3553288,1152500,187.0
1729617890.1580684,1182400,189.0
1729617917.6631298,1189500,189.0
1729617925.3391948,1191900,189.0
1729617962.935041,1201900,189.0
1729618057.9774404,1213200,188.0
1729618100.6349564,1219500,188.0
1729618385.644571,1262000,187.0
1729618421.7922337,1266800,186.0
1729618536.0405593,1282800,185.0
1729618572.792734,1287700,185.0
1729618737.012061,1311700,184.0
1729618756.1611617,1315500,184.0
1729618785.277221,1319900,184.0
1729618786.922392,1320100,184.0
1729618844.2526622,1327700,184.0
1729619001.960877,1350900,183.0
1729619130.7275922,1370200,182.0
1729619133.7828915,1370600,182.0
1729619161.7518234,1374500,182.0
1729619405.8359509,1410500,181.0
1729619458.4421856,1418900,181.0
1729619480.6007981,1421900,181.0
1729619556.405701,1432300,180.0
1729619577.83557,1435100,180.0
1729619632.9032936,1442400,180.0
1729619643.9030092,1444300,180.0
1729619646.4064682,1444800,180.0
1729619754.1849966,1460300,179.0
1729619785.9157202,1465000,179.0
1729619856.476012,1477200,179.0
1729619862.1637776,1478100,179.0
1729619905.323544,1484700,179.0
1729619986.9400418,1498900,179.0
1729619997.4586003,1500700,179.0
1729620031.516028,1506600,179.0
1729620065.3372748,1515500,179.0
1729620068.04997,1516200,179.0
1729620195.443538,1542400,180.0
1729620203.4443557,1544600,180.0
1729620242.1656752,1554600,180.0
1729620288.608347,1565200,180.0
1729620294.557045,1566500,180.0
1729620355.9673824,1582000,181.0
1729620375.6173553,1586600,181.0
1729620377.3399599,1587100,181.0
1729620396.7889495,1592500,181.0
1729620418.6288123,1598600,182.0
1729620491.17849,1617200,182.0
1729620591.4558818,1641100,183.0
1729620601.1209853,1643900,183.0
1729620848.8133402,1704200,185.0
1729620908.6086988,1719300,185.0
1729621075.7713265,1763500,186.0
1729621087.4784515,1766700,186.0
1729621092.6067667,1768100,186.0
1729621093.6786785,1768400,187.0
1729621102.2384937,1770800,187.0
1729621116.0590622,1774800,187.0
1729621177.1883287,1792100,187.0
1729621180.054875,1792800,187.0
1729621237.373073,1806400,188.0
1729621285.1377165,1819500,188.0
1729621346.7788281,1836400,189.0
1729621372.4191577,1843300,189.0
1729621396.5685067,1849800,189.0
1729621408.770564,1853200,189.0
1729621505.4006977,1880600,190.0
1729621547.5202923,1892200,190.0
1729621550.7608302,1893000,190.0
1729621552.4202063,1893400,190.0
1729621553.9701755,1893800,190.0
1729621649.181645,1920600,191.0
1729621675.2697701,1928200,192.0
1729621802.069339,1956000,192.0
1729621804.0426898,1956600,192.0
1729621809.2793386,1958100,192.0
1729621814.3682053,1959600,192.0
1729621853.2373893,1970500,192.0
1729621927.7561908,1991000,193.0
1729621929.0592577,1991400,193.0
1729621970.900081,2001000,193.0
1729622020.8796887,2012000,193.0
