Wall time,Step,Value
1729454662.9219208,4611,-21.0
1729454678.754206,13749,-20.0
1729454681.3944993,15053,-17.0
1729454685.6404436,17654,-19.0
1729454687.2429461,18687,-19.0
1729454698.7788196,25237,-18.0
1729454700.3100376,26056,-21.0
1729454722.4522035,38622,-20.0
1729454734.5834749,45205,-20.0
1729454736.2877338,46128,-20.0
1729454737.7630248,47018,-21.0
1729454760.3402,59410,-21.0
1729454761.8067474,60290,-21.0
1729454768.4815185,64084,-21.0
1729454773.152044,66706,-21.0
1729454774.6202993,67727,-21.0
1729454785.9074602,73284,-20.0
1729454795.078234,77955,-18.0
1729454815.786056,84327,-21.0
1729454851.872492,93494,-20.0
1729454863.6982403,96922,-21.0
1729454879.9124656,100537,-20.0
1729454926.8167565,112627,-20.0
1729454940.4301493,115961,-21.0
1729454944.221678,116936,-20.0
1729454953.0562851,118807,-18.0
1729454960.0033362,120608,-21.0
1729454987.4668152,126617,-20.0
1729455018.37606,133771,-20.0
1729455025.932962,135472,-20.0
1729455029.5547771,136310,-21.0
1729455039.8414881,139000,-21.0
1729455066.0217714,145340,-21.0
1729455079.4769828,148105,-21.0
1729455086.5794218,149711,-21.0
1729455093.1442409,151479,-21.0
1729455122.8139262,158506,-21.0
1729455142.1516213,162997,-21.0
1729455170.983184,169238,-21.0
1729455174.325628,170203,-21.0
1729455198.7840123,176041,-21.0
1729455204.140962,177264,-18.0
1729455249.3456964,187791,-21.0
1729455257.8206522,189684,-20.0
1729455289.9250479,197173,-21.0
1729455355.224423,211801,-21.0
1729455418.3738036,225947,-19.0
1729455422.7945244,226778,-20.0
1729455479.6033773,239121,-20.0
1729455484.3355398,239979,-21.0
1729455538.2186599,251582,-21.0
1729455552.7551594,254665,-21.0
1729455584.0066972,262040,-21.0
1729455596.3519251,265148,-20.0
1729455609.634101,268249,-20.0
1729455619.193275,270482,-21.0
1729455642.6996949,275461,-19.0
1729455651.2065563,277437,-21.0
1729455701.269733,288826,-19.0
1729455725.0803466,293271,-20.0
1729455745.0328,297278,-17.0
1729455754.8272502,299364,-20.0
1729455759.817821,300585,-20.0
1729455773.855105,303390,-19.0
1729455892.385523,329886,-20.0
1729455899.2694976,331145,-18.0
1729455963.4942448,344881,-21.0
1729455999.5777142,352385,-18.0
1729456003.9820535,353550,-21.0
1729456009.9673436,354686,-19.0
1729456083.556694,369900,-20.0
1729456138.7766607,380133,-19.0
1729456165.4611118,385417,-19.0
1729456179.3748827,388043,-17.0
1729456217.8360572,394418,-19.0
1729456257.1831398,401111,-20.0
1729456272.7246253,403907,-17.0
1729456355.8003619,418690,-17.0
1729456403.930567,427220,-20.0
1729456410.2114573,428385,-18.0
1729456514.2327306,446933,-18.0
1729456524.2164736,448493,-16.0
1729456537.7253466,450816,-21.0
1729456599.0313692,461144,-18.0
1729456643.3395572,469200,-18.0
1729456675.5435696,474396,-18.0
1729456712.876703,480705,-18.0
1729456743.5243013,485931,-20.0
1729456768.6667387,490317,-18.0
1729456784.3885536,493372,-19.0
1729456818.5316331,499163,-17.0
1729456826.9561157,500619,-18.0
1729456868.1595109,507547,-20.0
1729456875.674626,508813,-18.0
1729456924.4772477,516895,-18.0
1729457120.134919,550632,-19.0
1729457137.393563,553646,-19.0
1729457145.9340749,555152,-18.0
1729457153.5658498,556703,-21.0
1729457179.8651323,561483,-17.0
1729457196.6065674,564245,-20.0
1729457323.7604954,586932,-17.0
1729457333.53129,588634,-17.0
1729457350.940957,591815,-21.0
1729457367.8588266,594797,-19.0
1729457387.422455,598044,-19.0
1729457424.6841257,604782,-20.0
1729457446.9846814,608494,-20.0
1729457490.9961848,615653,-15.0
1729457510.4813359,619370,-18.0
1729457551.3346152,626444,-19.0
1729457611.7019832,636645,-20.0
1729457630.5073352,640106,-19.0
1729457676.37052,647120,-19.0
1729457852.9660432,676585,-18.0
1729457865.8187952,678792,-18.0
