Wall time,Step,Value
1729454865.1508367,97300,457.0
1729454894.2068186,104500,432.0
1729454901.078165,106000,426.0
1729454987.368062,126600,377.0
1729455005.1995432,131100,371.0
1729455026.8608193,135700,362.0
1729455068.2328377,145900,350.0
1729455132.624514,160500,334.0
1729455227.646966,182700,317.0
1729455231.9987454,183800,317.0
1729455273.2526908,193300,311.0
1729455295.0871801,198500,308.0
1729455335.7844794,207200,303.0
1729455401.1825354,221800,296.0
1729455418.146108,225900,295.0
1729455435.2467752,229500,293.0
1729455441.9778945,231100,292.0
1729455460.830829,234900,290.0
1729455468.5361779,236600,289.0
1729455637.0663686,274100,278.0
1729455645.3880498,276100,278.0
1729455866.5540118,323700,266.0
1729455869.0944986,324200,266.0
1729455877.2989662,326300,266.0
1729455895.0846968,330400,265.0
1729455929.8548257,337800,264.0
1729455980.7190688,348500,262.0
1729455985.8936775,349400,262.0
1729455992.5605636,350900,261.0
1729455996.8637505,351800,261.0
1729456022.0850744,356900,260.0
1729456181.7989538,388400,253.0
1729456195.8805404,390600,253.0
1729456218.9252453,394600,251.0
1729456274.3162613,404200,249.0
1729456286.9067183,406600,248.0
1729456337.1844382,415700,246.0
1729456457.2027996,436700,241.0
1729456476.4435527,440100,241.0
1729456484.4170961,441700,241.0
1729456505.7685788,445500,240.0
1729456514.0091958,446900,240.0
1729456515.962024,447200,239.0
1729456620.4156697,464900,236.0
1729456659.7758102,471600,234.0
1729456722.7765627,482400,232.0
1729456772.3440702,491000,231.0
1729456778.4549775,492200,231.0
1729456813.05355,498200,230.0
1729456819.3277295,499300,230.0
1729456839.2121603,502800,229.0
1729456899.5276065,512900,228.0
1729457039.5184174,536500,224.0
1729457191.3239877,563300,221.0
1729457335.8410711,589100,219.0
1729457360.8354113,593700,219.0
1729457391.3729222,598800,218.0
1729457398.104595,600100,218.0
1729457434.4816854,606300,217.0
1729457452.473837,609600,217.0
1729457493.9654016,616300,216.0
1729457545.704827,625500,216.0
1729457674.2997105,646800,214.0
1729457774.0835388,663300,212.0
1729457794.8742561,666700,212.0
1729457802.574559,668000,212.0
1729457862.9740362,678200,211.0
1729457871.740536,679800,211.0
1729457904.0228076,685400,210.0
1729457953.6521366,693900,210.0
1729458002.8384395,702600,209.0
1729458033.9419034,708000,209.0
1729458065.7654116,713500,209.0
1729458085.8682766,717000,208.0
1729458197.7852414,737000,207.0
1729458296.6520755,753100,206.0
1729458308.3051789,755100,206.0
1729458368.3707871,765100,205.0
1729458410.3481665,772000,205.0
1729458453.7448115,779200,204.0
1729458491.3560207,785500,204.0
1729458614.6246305,805400,203.0
1729458726.5210352,823700,202.0
1729458743.6076624,826500,202.0
1729458795.857855,834400,201.0
1729458858.6284478,844500,200.0
1729458909.998071,853100,200.0
1729458928.5613708,855700,200.0
1729458951.346304,859500,199.0
1729459071.782732,878700,198.0
1729459157.5296552,892300,198.0
1729459267.2231002,909200,197.0
1729459427.7348444,934900,195.0
1729459431.318096,935500,195.0
1729459470.83692,941900,195.0
1729459496.1631014,946000,195.0
1729459516.4875586,949500,195.0
1729459535.5605307,952500,195.0
1729459551.1973646,955300,195.0
1729459564.5593417,957700,194.0
1729459565.8226526,957900,194.0
1729459591.2030048,962400,194.0
1729459596.374405,963400,194.0
1729459620.4808066,967800,194.0
1729459722.715855,985900,194.0
1729459777.1446536,995300,194.0
1729459833.7210536,1005300,194.0
1729459856.5076652,1009200,193.0
1729459879.368217,1012800,193.0
1729459897.997345,1016000,193.0
1729460016.459513,1034800,192.0
1729460116.2091804,1051300,192.0
1729460141.560114,1055400,192.0
1729460142.2222462,1055500,192.0
1729460195.59325,1063800,191.0
1729460213.838524,1066800,191.0
1729460231.1498265,1069500,191.0
1729460244.751898,1071800,191.0
1729460265.0274122,1075000,191.0
1729460279.7411792,1077400,191.0
1729460282.9656906,1078000,191.0
1729460336.8645227,1086400,191.0
1729460353.6057167,1089100,191.0
1729460372.835603,1092200,190.0
1729460417.5247037,1099200,190.0
1729460511.4117153,1114300,190.0
1729460542.5048115,1119600,190.0
1729460576.0110874,1124600,189.0
1729460584.7556188,1125900,189.0
1729460613.1061418,1130200,189.0
1729460624.2789915,1131900,189.0
1729460652.6841788,1136200,189.0
1729460707.104884,1144400,189.0
1729460708.4065454,1144600,189.0
1729460749.2477417,1150800,188.0
